q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,trismegistos_label,trismegistos_id,english_label,french_label,latin_label,english_aliases,french_aliases,latin_aliases,writing_languages
Q162593,,,,,Pelagius,644.0,Pelagius,Pélage,Pelagius,"[""Morgan""]","[""Pelagius""]","[""Pelagius Britannicus"", ""Pelagius Theologus""]",[]
Q163079,"Catullus, Gaius Valerius",100218993,425.0,230.0,Catullus,175.0,Catullus,Catulle,Gaius Valerius Catullus,"[""Gaius Valerius Catullus"", ""Caius Valerius Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Caius Valerius Catullus"", ""Catullus""]","[""Latin""]"
Q166876,,,,,Isidorus of Sevilla,446.0,Isidore of Seville,Isidore de Séville,Isidorus Hispalensis,"[""St. Isidore"", ""Bishop of Seville"", ""Isidorus Hispalensis"", ""Isidor of Seville"", ""Saint Isidore of Seville""]","[""Isidoire de S\u00e9ville"", ""Saint Isidore de S\u00e9ville"", ""Isidore de Seville""]","[""Laus Hispaniae Isidori Hispaliensis"", ""Isidorus""]","[""Latin""]"
Q168707,,,,,Plinius the Younger,696.0,Pliny the Younger,Pline le Jeune,Gaius Plinius Caecilius Secundus,"[""the Younger Pliny"", ""Gaius Plinius Caecilius Secundus"", ""Gaius Caecilius Cilo"", ""C. Plinius Caecilius Secundus""]","[""Gaius Plinius Caecilius Secundus"", ""Caius Plinius Lucius filius Oufentina tribu Caecilius Secundus""]","[""C. Plinius Caecilius Secundus"", ""Caius Plinius Caecilius Secundus"", ""Plinius Minor""]","[""Latin""]"
Q169243,,,,,Protagoras Abderita,8079.0,Protagoras,Protagoras,Protagoras,"[""Protagoras of Abdera""]","[""Protagoras d\u2019Abd\u00e8re"", ""Protagoras d'Abd\u00e8re""]","[""Protagoras Sophista"", ""Protagoras Abderita""]","[""Ancient Greek""]"
Q170472,Origen,95155322,182.0,115.0,Origenes,612.0,Origen,Origène,Origenes,"[""Origenes""]","[""Orig\u00e8ne d'Alexandrie"", ""Origene"", ""Orig\u00e8nes""]","[""Origenes Alexandrinus"", ""Origenes Adamantius"", ""Origenes Theologus""]","[""Koine Greek""]"
Q170512,Apuleius,32115433,273.0,179.0,Apuleius,97.0,Apuleius,Apulée,Lucius Apuleius,"[""Lucius Apuleius""]","[""Apulee""]","[""Apuleius Madaurensis"", ""Lucius Apuleius Madaurensis"", ""Apuleius""]","[""Latin""]"
Q171241,Diodorus Siculus,56608763,192.0,147.0,Diodoros of Sicily,234.0,Diodorus Siculus,Diodore de Sicile,Diodorus Siculus,"[""Diodoros of Sicily"", ""Diodorus"", ""Diodoros"", ""Diodorus of Sicily""]","[""Diodorus Siculus""]","[""Diodorus"", ""Diodorus Siculus Historicus""]","[""Ancient Greek""]"
Q172048,Terence (Publius Terentius Afer),66462384,1185.0,399.0,Terentius,906.0,Terence,Térence,Publius Terentius Afer,"[""Terentius"", ""Publius Terentius Afer""]","[""Terentius"", ""Terence"", ""Publius Terentius Afer""]","[""Terentius"", ""Terentius Comicus"", ""P. Terentius Afer""]","[""Latin""]"
Q172198,Ammianus Marcellinus,89594750,133.0,109.0,Ammianus Marcellinus,47.0,Ammianus Marcellinus,Ammien Marcellin,Ammianus Marcellinus,"[""Ammianus""]","[""Amien Marcellin"", ""Ammianus Marcellinus"", ""Ammianus""]","[""Ammianus"", ""Ammianus Marcellinus Historicus""]","[""Latin""]"
Q174929,"Tertullian, Quintus Septimius",257902368,254.0,156.0,Tertullianus,907.0,Tertullian,Tertullien,Quintus Septimius Florens Tertullianus,"[""Quintus Septimius Florens Tertullianus""]","[""Quintus Septimus Florens Tertullianus""]","[""Tertullianus Scriptor ecclesiasticus"", ""Quintus Septimus Florens Tertullianus"", ""Tertullianus""]","[""Latin""]"
Q177847,Lucian of Samosata,100218901,525.0,292.0,Loukianos,524.0,Lucian of Samosata,Lucien de Samosate,Lucianus Samosatensis,"[""Lucian"", ""Lucianus"", ""Loukianos"", ""Lucianus Samosatenus""]",[],"[""Lucianus Sophista"", ""Lucianus""]","[""Ancient Greek""]"
Q1779484,Colluthus,62351876,15.0,13.0,,,Coluthus,Coluthos,Colluthus,"[""Colluthus"", ""Colluthus of Lycopolis""]","[""Colouthos"", ""Colluthos""]","[""Coluthus"", ""Colluthus Epicus"", ""Colluthus Lycopolitanus""]","[""Ancient Greek""]"
Q178217,Diophantus of Alexandria,2604182,20.0,20.0,,,Diophantus of Alexandria,Diophante d'Alexandrie,Diophantus Alexandrinus,"[""Diophantus""]","[""Diophant"", ""Diophante""]","[""Diophantus Mathematicus"", ""Diophantus""]","[""Ancient Greek""]"
Q17892,Sappho,78770488,155.0,115.0,Sappho,827.0,Sappho,Sappho,Sappho,"[""Sapphus"", ""Psappho"", ""Sapho""]","[""Sapho""]","[""Sappho Poeta"", ""Sappho Lyrica"", ""Sappho Lesbia""]","[""Ancient Greek""]"
Q179785,,,,,Gorgias of Leontinoi,2449.0,Gorgias,Gorgias,Gorgias,"[""Gorgias of Leontini""]",[],"[""Gorgias Sophista"", ""Gorgias Leontinus""]","[""Attic Greek""]"
Q1799472,,,,,Hermas,370.0,Hermas,Hermas,Hermas,[],[],"[""Hermas Scriptor ecclesiasticus""]",[]
