english_label,french_label,latin_label,q_identifier,trismegistos_label,trismegistos_id,english_aliases,french_aliases,latin_aliases,writing_languages
Valerius Maximus,Valère Maxime,Valerius Maximus,Q379991,Valerius Maximus,951,"[""Quintus V. Maximus"", ""Caius Valerius Maximus""]","[""Valere Maxime"", ""Valerius Maximus"", ""Val\u00e8re-Maxime""]","[""Valerius Maximus Historicus""]","[""Latin""]"
Dracontius,Dracontius,Blossius Aemilius Dracontius,Q885446,Blossius Aemilius Dracontius,5946,"[""Blossius Aemilius Dracontius""]","[""Blossius Aemilius Dracontius""]","[""Dracontius"", ""Dracontius Afer"", ""Dracontius Poeta""]","[""Latin""]"
Scriptores Historiae Augustae,Scriptores Historiae Augustae,Scriptores Historiae Augustae,Q9334638,Scriptores Historiae Augustae,5058,[],[],[],"[""Latin""]"
authors of Appendix Vergiliana,auteurs de l'Appendix Vergiliana,auctores Appendicis Vergilianae,Q102338318,Appendix Vergiliana,5098,"[""authors of the Appendix Vergiliana""]",[],[],"[""Latin""]"
Augustus,Auguste,Augustus,Q1405,Augustus,138,"[""Gaius Julius Caesar"", ""Gaius Octavius Caepias"", ""Gaius Octavian"", ""Octavius Caesar"", ""Gaius Julius Caesar Augustus"", ""Caesar Octavianus"", ""Gaius Julius Caesar Octavianus"", ""Octavianus"", ""Augustus Caesar"", ""Caius Octavius Thurinus"", ""Caius Octavius"", ""Octavian"", ""Gaius Caesar"", ""Caius Julius C\u00e6sar Octavianus"", ""Gaius Octavius"", ""Gaius Octavius Thurinus"", ""Caesar Augustus"", ""Imperator Gaius Julius Caesar Octavianus Divi Filius Augustus"", ""Gaius Julius Caesar Octavianus Augustus""]","[""C\u00e9sar Auguste"", ""Octave"", ""Gaius Julius Caesar"", ""Empereur Romain Auguste"", ""Octavius Caesar"", ""Gaius Octavius"", ""Caesar Augustus"", ""Octavien"", ""Gaius Julius Caesar Augustus""]","[""\u0393\u03ac\u03ca\u03bf\u03c2 \u1f48\u03ba\u03c4\u03b1\u03bf\u03cd\u03b9\u03bf\u03c2"", ""Imperator Caesar Divi F. Augustus"", ""Imperator Caesar Divi Filius Augustus"", ""Gaius Octavius"", ""\u039a\u03b1\u1fd6\u03c3\u03b1\u03c1 \u03a3\u03b5\u03b2\u03b1\u03c3\u03c4\u03cc\u03c2 \u03b8\u03b5\u03cc\u03c2"", ""Gaius Iulius Caesar Octavianus"", ""Imperator Caesar Divi f. Augustus""]","[""Latin""]"
Seneca,Sénèque,Lucius Annaeus Seneca minor,Q2054,Seneca,1102,"[""Lucius Annaeus Seneca"", ""L. Ann\u00e6us Seneca"", ""Annaeus Seneca"", ""Lucio Anneo Seneca"", ""Lucius Annaeus Seneca Iunior"", ""Seneca the Younger"", ""Lucius Annaeus Seneca minor"", ""the Younger Seneca"", ""Lucius Annaeus Seneca the Younger""]","[""Lucius Annaeus Seneca"", ""S\u00e9n\u00e8que le Jeune"", ""S\u00e9n\u00e8que le Philosophe""]","[""Lucius Annaeus Seneca"", ""Cordubensis"", ""L. Annaeus Seneca""]","[""Latin""]"
Quintus Curtius Rufus,Quinte-Curce,Quintus Curtius Rufus,Q5959,Curtius Rufus,209,"[""Curtius Rufus""]","[""Quinte Curce"", ""Quintus Curtius Rufus""]","[""Curtius Rufus"", ""Curtius Rufus Historicus""]","[""Latin""]"
Gaius Cornelius Gallus,Caius Cornelius Gallus,Gaius Cornelius Gallus,Q8825,Gaius Cornelius Gallus,203,"[""Cornelius Gallus""]","[""Gaius Cornelius Gallus""]","[""Cornelius Gallus"", ""Gallus Poeta""]","[""Latin""]"
Gregory I,Grégoire Ier,Gregorius Magnus,Q42827,Gregorius Magnus,345,"[""Pope Gregory I"", ""Pope Gregory the Great"", ""St Gregory I"", ""Pope Saint Gregory I"", ""St. Gregory the Dialogist"", ""Pope St. Gregory I"", ""Saint Gregory"", ""St Gregory the Great"", ""Gregorius Anicius"", ""Gregory"", ""Saint Gregory the Dialogist"", ""Pope Saint Gregory I the Great"", ""Saint Gregorius Magnus"", ""Gregorius Magnus"", ""St. Gregory the Great"", ""Saint Gregory I"", ""Saint Gregory the Great"", ""Gregory the Great"", ""Gregory The Great"", ""St Gregory""]","[""Gregoire le Grand"", ""Gr\u00e9goire 1er"", ""Gr\u00e9goire Ier le Grand"", ""Gr\u00e9goire le Grand"", ""Gregoire Ier"", ""saint Gr\u00e9goire le grand""]","[""Sanctus Gregorius PP. I Magnus"", ""Sanctus Gregorius"", ""Gregorius I"", ""Sanctus Gregorius Magnus""]","[""Latin""]"
Hermes Trismegistus,Hermès Trismégiste,Hermes Trismegistus,Q192358,Anonymi of the Corpus Hermeticum,205,"[""Trismegistus""]","[""Hermes Trismegistus"", ""Herm\u00e8s Trismegiste"", ""Hermes Trismegiste""]","[""Mercurius ter Maximus""]","[""Ancient Greek""]"
