english_label,french_label,latin_label,q_identifier,mediate_label,viaf_id,mediate_nb_items,mediate_nb_collections,english_aliases,french_aliases,latin_aliases,writing_languages
Sallust,Salluste,Gaius Sallustius Crispus,Q7170,"Sallust, Gaius Crispus",104162705,687,323,"[""Gaius Sallustius Crispus"", ""Qay Krisp Sallyusti""]",[],"[""Sallustius"", ""C. Sallustius Qui. Crispus""]","[""Latin""]"
Ovid,Ovide,Publius Ovidius Naso,Q7198,"Ovid, Publius Naso",88342447,1650,477,"[""P. Ovidius Naso"", ""Publius Ovidius Naso""]",[],"[""Ovidius""]","[""Latin""]"
Augustine of Hippo,Augustin d’Hippone,Augustinus,Q8018,Augustine of Hippo,66806872,750,263,"[""St. Augustine of Hippo"", ""St. Augoustinos"", ""Augustinus"", ""bishop of Hippo"", ""Aurelius Augustinus Hipponensis"", ""Augustine"", ""Aurelius Augustinus"", ""Aurelius Augustine"", ""Saint Austin"", ""Saint Augustine"", ""St. Augustine"", ""Saint Augustine of Hippo"", ""Aurelius""]","[""Augustin d'Hippone"", ""saint Augustin""]","[""Aurelius Augustinus"", ""Augustinus Aurelius""]","[""Latin""]"
Propertius,Properce,Sextus Propertius,Q8827,"Propertius, Sextus",100907186,368,214,"[""Sextus Aurelius Propertius"", ""Sextus Propertius""]",[],"[""Propertius""]","[""Latin""]"
Suetonius,Suétone,Suetonius,Q10133,Suetonius,100218606,692,318,"[""Gaius Suetonius Tranquillus"", ""Gaio Svetonio Tranquillo"", ""Svetonio"", ""Caius Suetonius Tranquillus"", ""Su\u00e9tone"", ""Tranquillus Suetonius"", ""C. Suetonius Tranquillus"", ""Suetone Tranquile"", ""Suetone"", ""Sveton"", ""Sueton""]",[],"[""Gaius Suetonius Tranquillus"", ""Gaius Suetonius Tranquillus Biographus"", ""Caius Suetonius Tranquillus""]","[""Latin""]"
Justinian I,Justinien,Iustinianus I,Q41866,Justinian I (emperor),88881722,718,255,"[""Flavius Petrus Sabbatius Justinianus Magnus"", ""Imperator Caesar Flavius Iustinianus Alamannicus Gothicus Francicus Germanicus Anticus Alanicus Vandalicus Africanus pius felix inclitus victor ac triumphator semper Augustus"", ""Ioustinianos I"", ""Imperator Caesar Flavius Petrus Sabbatius Iustinianus Augustus"", ""Petrus Sabbatius"", ""Fl\u0101vius Petrus Sabbatius J\u016bst\u012bni\u0101nus"", ""Petrus Sabbatius Iustinianus"", ""Justinian the Great"", ""Iustinianus I"", ""Flavius Petrus Sabbatius Justinianus""]","[""Justinien Ier"", ""Justinien le Magne""]","[""Iustinianus I."", ""Iustinianus"", ""Iustinianus Imperator"", ""Justinianus I""]","[""Latin""]"
Ambrose,Ambroise de Milan,Ambrosius,Q43689,"Ambrosius, Aurelius (saint)",100227669,60,56,"[""St Ambrose"", ""Bishop of Milan Ambrose"", ""Saint Ambrose"", ""St. Ambrose"", ""Bishop of Milan Ambrogio"", ""Bishop of Milan Amvros\u012b\u012d"", ""Ambrose of Milan"", ""Bishop of Milan Aurelius Ambrosius"", ""Saint"", ""Saint Ambrose Bishop of Milan"", ""Bishop of Milan Ambroise"", ""St. Ambrosius"", ""Bp. of Milan Ambrosius"", ""Ambrosius"", ""Bishop of Milan Aurelio Ambrogio"", ""Ambrosius Mediolanensis""]","[""Saint Ambroise de Milan""]","[""Sanctus Aurelius Ambrosius"", ""Ambrosius Mediolanensis"", ""Sanctus Ambrosius""]","[""Latin""]"
Leo I,Léon Ier,Leo I,Q43954,Leo the Great (Pope),9875336,46,40,"[""Pope Leo I"", ""Leo the Great""]","[""L\u00e9on ier"", ""Saint L\u00e9on le Grand"", ""Leon Ier"", ""L\u00e9on le Grand"", ""L\u00e9on Ier le Grand""]","[""Leo Magnus Papa"", ""Leo Magnus"", ""Sanctus Leo PP. I Magnus""]","[""Latin""]"
Jerome,Jérôme de Stridon,Hieronymus,Q44248,"Jerome, Eusebius Sophronius (saint )",95147024,96,80,"[""Jerome of Stridon"", ""Eusebius Hieronymus"", ""Saint Hieronymus"", ""Eusebius Sophronius Hieronymus"", ""Saint Jerome"", ""Sophronius Eusebius Hieronymus"", ""Sofronius Eusebius Hieronymus"", ""Saint Heronimos"", ""St. Jerome"", ""Hieronymus""]","[""Eusebius Hieronymus"", ""J\u00e9rome de Stridon"", ""Jerome de Stridon"", ""Saint J\u00e9r\u00f4me"", ""J\u00e9r\u00f4me"", ""Eusebius Sophronius Hieronymus""]","[""Hieronymus Stridonius"", ""Sanctus Hieronymus"", ""Sophronius Eusebius Hieronymus"", ""Hieronymus Stridonensis"", ""Eusebius Sophronius Hieronymus""]","[""Latin""]"
Lycophron,Lycophron,Lycophron,Q432737,Lycophron of Chalcis,68976194,84,67,"[""Lycophron of Chalcis"", ""Lykophron"", ""Lykophron of Chalkis""]","[""Lycophron de Chalcis""]","[""Lycophron Tragicus"", ""Lycophron Alexandrinus"", ""Lycophron Chalcidicus"", ""Lycophron Chalcidensis""]","[""Ancient Greek""]"
Asconius Pedianus,Asconius,Quintus Asconius Pedianus,Q444285,"Asconius Pedianus, Quintus",85065079,42,35,"[""Asconius""]","[""Asconius Pedianus""]","[""Asconius"", ""Asconius Pedianus""]","[""Latin""]"
Prosper of Aquitaine,Prosper d'Aquitaine,Prosper Tiro Aquitanus,Q454652,Prosper d'Aquitaine (saint),52485706,28,24,"[""Prosper Tiro Aquitanus""]","[""Saint Prosper""]","[""Prosper Aquitanicus"", ""Prosperus Aquitanicus"", ""Prosper Tiro"", ""Prosperus Aquitanus"", ""Tiro Prosper"", ""Prosper Aquitanus"", ""Prosper""]","[""Latin""]"
Verrius Flaccus,Verrius Flaccus,Marcus Verrius Flaccus,Q454995,Verrius Flaccus,13153593741251671199,25,24,"[""Marcus Verrius Flaccus""]","[""Marcus Verrius Flaccus""]","[""Verrius Flaccus Grammaticus"", ""Verrius Flaccus""]","[""Latin""]"
Gaius Julius Solinus,Solin,Gaius Julius Solinus,Q520487,"Solinus, Gaius Julius",51672454,26,24,"[""Solinus"", ""Solin."", ""Gaius Iulius Solinus"", ""Caius Iulius Solinus"", ""C. Julius Solinus"", ""C. Iulius Solinus"", ""Solinus the Grammarian"", ""Caius Julius Solinus"", ""Solinus Grammaticus""]","[""Caius Julius Solin"", ""Caius Julius Solinus"", ""Gaius Julius Solinus""]","[""Solini"", ""Solinus"", ""C. Julii Solini"", ""Caii Julii Solini"", ""Solin."", ""Gaius Iulius Solinus"", ""C. Julius Solinus"", ""C. Iulius Solinus"", ""Solinum"", ""Caii Iulii Solini"", ""Gaii Julii Solini"", ""Solinus Grammaticus"", ""C. Iulii Solini"", ""Soline"", ""Solino"", ""Gaii Iulii Solini""]","[""Latin""]"
Salvian,Salvien de Marseille,Salvianus Massiliensis,Q532684,Salvianus,236486362,47,37,"[""Salvianus"", ""Salvian of Marseilles""]","[""Salvien""]","[""Salvianus""]","[""Latin""]"
Rutilius Taurus Aemilianus Palladius,Palladius,Palladius Rutilius Taurus Aemilianus,Q561353,"Palladius, Rutilius Taurus Aemilianus",54143112,24,21,"[""Palladius Rutilius Taurus Aemilianus""]",[],"[""Rutilius Taurus Aemilianus Palladius""]","[""Latin""]"
Festus,Rufius Festus,Festus,Q666127,"Festus, Rufus Sextus",79076696,4,3,"[""Sextus Rufus"", ""Sextus Festus"", ""Ruffus Festus"", ""Rufus Festus""]","[""Sextus Rufus""]","[""Festus Historicus"", ""Rufius Festus"", ""Sextus Rufus"", ""Rufus Festus""]","[""Latin""]"
Eucherius of Lyon,Eucher de Lyon,Eucherius Lugdunensis,Q671419,Eucherius of Lyon,90719515,1,1,"[""Eucherius""]",[],[],"[""Latin""]"
