,author,tags,perseus,wikipedia,trimegistos,trismegistos_id,wikidata_id,aliases
12,Aischylos,"(Greek, poetry tragedy, poetry elegy, epigram, BC 525 - 455)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.34,https://en.wikipedia.org/wiki/Aeschylos,https://www.trismegistos.org/author/25,25,Q40939,"['äschylos', 'äschylus', 'aischylos', 'ésquilo', 'aeschylos', 'esquilo', 'eschilo', 'aiskhúlos', 'aeschylus', 'éschyle', 'aeschylus tragicus', 'eschyle', 'æschylus', 'échille', 'aischylus', 'aeschylus atheniensis']"
13,Aristophanes,"(Greek, poetry comedy, BC 446 - 386)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.202,https://en.wikipedia.org/wiki/Aristophanes,https://www.trismegistos.org/author/117,117,Q43353,"['aristofane', 'aristófanes', 'aristophane', 'aristofanes', 'aristophanes', 'father of comedy', 'aristophanes comicus']"
14,Herodotos,"(Greek, history, BC 484 - 425 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.728,https://en.wikipedia.org/wiki/Herodotus,https://www.trismegistos.org/author/376,376,Q26825,"['herodotus of halicarnassus', 'hérodote de thourioi', 'hdt.', 'herodoto de halicarnaso', 'herodote', 'hérodote', ""hérodote d'halicarnasse"", 'herodot', 'herodot von halikarnassos', 'heródoto de halicarnaso', 'father of history', 'herodotos', 'herodotus halicarnassensis', 'erodoto', 'herodoto', 'heródoto', 'herodotus', 'erodoto di alicarnasso']"
15,Tacitus,"(Latin, history, AD 56 - 120)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1357,https://en.wikipedia.org/wiki/Tacitus,https://www.trismegistos.org/author/899,899,Q2161,"['cornelius tacitus', 'gaius cornelius tacitus', 'c. cornelius tacitus', 'cornelio tacito', 'publio cornelio tacito', 'tacitus historicus', 'publius cornelius tacitus', 'tacito', 'tacite', 'tácito', 'cornelio tácito', 'tacitus', 'p. cornelius tacitus', 'publius cornelius tacitus caecina paetus']"
16,Thoukydides,"(Greek, history, BC 460 - 400 about)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1403,https://en.wikipedia.org/wiki/Thucydides,https://www.trismegistos.org/author/937,937,Q41683,"['thucidide', 'tucidide', 'thucydides atheniensis', 'thucydides', 'thukydides', 'tucidides', ""thucydide d'athènes"", 'tucídides', 'thucydide', 'thuc.', 'thucydides historicus']"
17,Catullus,"(Latin, poetry, BC 87 - 54)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.337,https://en.wikipedia.org/wiki/Catullus,https://www.trismegistos.org/author/175,175,Q163079,"['catullo', 'valerio catullo', 'catullus', 'caio valerio catullo', 'katull', 'catulle', 'catull', 'gaius valerius catullus', 'caius valerius catullus', 'cayo valerio catulo', 'gaio valerio catullo', 'catulo']"
18,Livius,"(Latin, history, BC 59 - AD 17?)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.840,https://en.wikipedia.org/wiki/Livy,https://www.trismegistos.org/author/521,521,Q2039,"['livio', 'livy', 'liv.', 'liv', 'tite-live', 'titus livius patavinus', 'tito livio', 'livius', 'titus livius', 'tito livi patavino']"
19,Plautus,"(Latin, poetry comedy, BC 254 - 184)",nan,https://en.wikipedia.org/wiki/Plautus,https://www.trismegistos.org/author/695,695,Q47160,"['plaute', 'tito macco plauto', 'plautus', 'tito macio plauto', 't. maccius plautus', 'titus maccius plautus', 'tito maccio plauto', 'plauto', 'plautus comicus']"
20,Pindaros,"(Greek, poetry lyric, BC 522 - 443)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.1126,https://en.wikipedia.org/wiki/Pindarus,https://www.trismegistos.org/author/690,690,Q134929,"['pindar', 'pindaarus', 'pindarus lyricus', 'pindaros', 'píndaro', 'pindarus poeta', 'pindarus', 'pyndarus', 'pindaro', 'pindarus boeotus', 'pindare', 'dircæan swan']"
21,Lucretius,"(Latin, philosophy, poetry, BC 100 - 50)",http://catalog.perseus.org/catalog/urn:cite:perseus:author.852,https://en.wikipedia.org/wiki/Lucretius,https://www.trismegistos.org/author/529,529,Q47154,"['lucretius carus', 'lucrez', 't. lucretius carus', 'tito lucrecio caro', 't.lucretius carus', 'lucretius', 'tito lucrezio caro', 'titus carus lucretius', 'lucretius carus poeta', 'lucrezio caro', 'lucrecio', 'lucrèce', 'titus lucretius carus', 'lukrez', 'lucrezio']"
